date,start,finish,sunset,temperature,windy,clouds,rainy,snow,fog,spotlight,moon,observers,conditions,notes,total_deer,Raccoon,Bear,Coyote,Opossum,Skunk,Wild_Hog,Red_Wolf,Gray_Fox,Rabbit,Bobcat,Area,deer_dens
11/13/2001,1/0/1900,1/0/1900,1/0/1900,40,FALSE,1,FALSE,FALSE,FALSE,1000000,4,"stiver, raxter, payne",,,20,0,0,3,0,0,0,0,0,0,0,470,23.5
9/13/2001,1/0/1900,,1/0/1900,70,FALSE,1,FALSE,FALSE,TRUE,1000000,3,"varner, hester, payne",,very foggy along creeks,21,0,0,0,0,0,0,0,0,0,0,470,22.38095238
12/3/2002,1/0/1900,,1/0/1900,44,FALSE,3,FALSE,FALSE,FALSE,1000000,4,"Hester, James, Miller",,,21,0,0,2,0,0,0,0,0,0,0,470,22.38095238
10/29/2003,1/0/1900,1/0/1900,1/0/1900,40,FALSE,3,FALSE,FALSE,FALSE,1000000,1,BS + 4,,,22,0,0,6,0,0,1,0,0,0,0,470,21.36363636
11/13/2003,1/0/1900,1/0/1900,1/0/1900,30,TRUE,1,FALSE,FALSE,FALSE,1000000,3,BS+3,,,22,4,1,2,0,0,0,0,0,0,0,470,21.36363636
11/14/2002,1/0/1900,1/0/1900,1/0/1900,38,FALSE,1,FALSE,FALSE,FALSE,1000000,1,"Varner, Duncan, Stacey",,,23,0,1,5,0,0,0,0,0,0,0,470,20.43478261
5/13/2003,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,2,BSADJL,,,23,0,0,3,0,0,5,0,0,0,0,470,20.43478261
11/27/1996,1/0/1900,1/0/1900,1/0/1900,35,FALSE,1,FALSE,FALSE,FALSE,1000000,2,bs americore,,grass high in several fields,24,0,0,0,0,0,0,0,0,0,0,470,19.58333333
2/12/2003,1/0/1900,1/0/1900,1/0/1900,30,FALSE,1,FALSE,FALSE,FALSE,1000000,1,BSCHRG,,,24,0,0,1,0,0,0,0,1,0,0,470,19.58333333
11/15/2000,1/0/1900,1/0/1900,1/0/1900,45,FALSE,2,FALSE,FALSE,FALSE,1000000,2,"compton, boostrum, raxter, jorgenson",cold,,26,2,0,0,0,0,1,0,0,3,0,470,18.07692308
9/16/2002,1/0/1900,1/0/1900,1/0/1900,70,FALSE,2,FALSE,FALSE,FALSE,1000000,1,"CH, EJ, TN",,,26,0,0,0,0,0,0,0,0,0,0,470,18.07692308
8/21/2001,1/0/1900,1/0/1900,1/0/1900,70,FALSE,1,FALSE,FALSE,TRUE,1000000,4,Blount Exp Smokies,,,27,0,0,1,0,0,0,0,0,0,0,470,17.40740741
2/18/1994,1/0/1900,1/0/1900,,50,TRUE,1,FALSE,FALSE,FALSE,1000000,1,bs d c,extremely windy,deer observed in fields were very nervous- deer were either running or began to run when spot lighted,28,0,0,0,0,0,0,3,0,0,0,470,16.78571429
7/11/2003,1/0/1900,1/0/1900,1/0/1900,71.5,TRUE,2,FALSE,FALSE,TRUE,1000000,2,HM + 3,,Heavy fog after section 3,29,0,0,1,0,0,0,0,1,0,0,470,16.20689655
12/22/1999,1/0/1900,1/0/1900,,30,FALSE,1,FALSE,FALSE,TRUE,1000000,2,bsrsjg,heavy fog in 4c&5a,little wildlife activity,27,1,0,0,0,0,0,0,0,1,0,416.4140015,15.42274079
9/14/1994,1/0/1900,1/0/1900,1/0/1900,65,FALSE,1,FALSE,FALSE,TRUE,1000000,0,bs fv rv bl,,most deer laying down- lots of tall grass- fog near Abrams creek,31,0,0,0,0,2,0,0,0,0,0,470,15.16129032
11/30/1995,1/0/1900,1/0/1900,1/0/1900,45,FALSE,1,FALSE,FALSE,FALSE,1000000,1,bs ae ge,,,32,0,0,1,0,0,0,0,0,1,0,470,14.6875
7/25/2002,1/0/1900,1/0/1900,1/0/1900,75,FALSE,0,FALSE,FALSE,TRUE,1000000,0,"Hester, Hartman",Calm and very foggy.,Observed a red fox in Area 1.,32,0,0,0,0,0,0,0,0,0,0,470,14.6875
1/29/1997,1/0/1900,1/0/1900,1/0/1900,45,FALSE,3,FALSE,FALSE,FALSE,1000000,3,hp dm pk bs lp,,surveyed all fields- most deer laying down- bucks still have antlers,33,1,0,0,0,0,0,0,0,0,0,470,14.24242424
3/18/1999,1/0/1900,1/0/1900,1/0/1900,50,FALSE,1,FALSE,FALSE,FALSE,1000000,1,ch bm miami univ,,,34,0,0,3,0,0,0,0,5,0,0,470,13.82352941
4/25/2002,1/0/1900,,1/0/1900,68,FALSE,1,FALSE,FALSE,FALSE,1000000,2,Hester/ Payne/ McCulley/ Ramsey,,,34,0,0,0,0,0,0,0,0,1,0,470,13.82352941
6/25/2003,1/0/1900,1/0/1900,1/0/1900,65,FALSE,0,FALSE,FALSE,FALSE,1000000,0,DGANRABYHM,,,35,0,0,0,0,0,0,0,1,0,0,470,13.42857143
12/4/2001,1/0/1900,1/0/1900,1/0/1900,45,FALSE,3,FALSE,FALSE,FALSE,1000000,3,RVHPDN,,,38,0,0,4,0,0,0,0,0,0,0,470,12.36842105
11/1/2001,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,2,"hester, herrington, varner",,,39,0,0,3,0,0,0,0,1,0,0,470,12.05128205
10/9/1996,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs hp jp cs,,tall grass in most fields,40,0,0,0,0,0,0,2,0,0,0,470,11.75
11/26/1998,1/0/1900,1/0/1900,1/0/1900,47,FALSE,1,FALSE,FALSE,FALSE,1000000,1,seymour,,,40,0,0,1,0,0,0,0,0,0,0,470,11.75
11/17/1999,1/0/1900,,1/0/1900,37,FALSE,2,FALSE,FALSE,FALSE,1000000,1,chkdtat,,deer were very innactive,40,2,6,2,0,0,0,0,0,0,0,470,11.75
9/27/2000,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,4,"hester, hampton",,,40,0,0,0,1,0,0,0,0,0,0,470,11.75
3/28/2002,1/0/1900,1/0/1900,,50,FALSE,1,FALSE,FALSE,FALSE,1000000,2,B.S./J.D./B.R./D.O./C.O.,,All areas surveyed; some fields burned earlier in the day.,41,1,0,5,0,0,0,0,0,0,0,470,11.46341463
10/21/1998,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs dm jh fm sm,,mostly bucks,42,0,0,0,0,0,0,0,1,0,0,470,11.19047619
11/29/1993,1/0/1900,1/0/1900,1/0/1900,32,FALSE,1,FALSE,FALSE,FALSE,1000000,2,bs kd ey,,Area 5 not counted due to foggy conditions,36,0,0,0,0,0,0,0,0,0,0,402,11.16666667
1/7/1999,1/0/1900,1/0/1900,1/0/1900,40,FALSE,2,FALSE,FALSE,FALSE,1000000,3,bm rv john,,,43,0,0,0,0,0,0,0,1,0,0,470,10.93023256
3/1/1999,1/0/1900,1/0/1900,1/0/1900,45,FALSE,1,FALSE,FALSE,FALSE,1000000,2,ch hall nichols,,,43,0,0,1,0,0,0,0,4,0,0,470,10.93023256
4/18/2001,1/0/1900,1/0/1900,1/0/1900,50,FALSE,1,FALSE,FALSE,FALSE,1000000,3,ew br bm,,,44,0,0,1,0,0,0,0,0,0,0,470,10.68181818
10/21/1996,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,1,bs js wd jh,,tall grass in some fields,45,0,0,0,0,0,0,1,0,0,0,470,10.44444444
8/12/1998,1/0/1900,1/0/1900,1/0/1900,73,FALSE,1,FALSE,FALSE,TRUE,1000000,3,jc tp bw ee,,fog in part of section 3 & 4,45,0,0,0,0,0,0,0,0,0,0,470,10.44444444
2/21/2002,1/0/1900,1/0/1900,1/0/1900,50,FALSE,1,FALSE,FALSE,FALSE,1000000,1,R.V./ J.B.D./E.J.,,All areas surveyed.,45,0,0,2,0,0,0,0,0,0,0,470,10.44444444
8/18/2003,1/0/1900,1/0/1900,1/0/1900,60,TRUE,2,FALSE,FALSE,TRUE,1000000,3,HMNCANMG,,Fog in areas 3 & 4,45,0,0,1,0,0,0,0,0,0,0,470,10.44444444
8/7/2003,1/0/1900,1/0/1900,1/0/1900,60,FALSE,3,FALSE,FALSE,TRUE,1000000,1,HMBRTRJM,,,46,0,0,0,0,0,0,0,0,0,0,470,10.2173913
10/18/1995,1/0/1900,,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,3,seymour,,5 not surveyed due to fog,39,3,0,0,0,0,0,0,1,0,0,398,10.20512821
4/7/1997,1/0/1900,1/0/1900,1/0/1900,45,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs pk gd kc,,,48,0,0,0,3,0,0,0,0,0,0,470,9.791666667
9/10/1998,1/0/1900,1/0/1900,1/0/1900,62,FALSE,1,FALSE,FALSE,FALSE,1000000,3,kd ch,,,48,0,0,0,0,0,0,0,0,0,0,470,9.791666667
1/26/1999,1/0/1900,1/0/1900,1/0/1900,45,FALSE,1,FALSE,FALSE,FALSE,1000000,1,bs rf rn rw nb,,,48,0,2,0,0,0,0,0,0,0,0,470,9.791666667
6/19/1997,1/0/1900,1/0/1900,1/0/1900,75,FALSE,1,FALSE,FALSE,FALSE,1000000,2,ch rf,,,49,0,0,0,1,0,0,1,1,0,0,470,9.591836735
4/11/2002,1/0/1900,1/0/1900,1/0/1900,60,TRUE,3,FALSE,FALSE,FALSE,1000000,4,B.S./J.B./B.R.,,,52,0,0,3,0,0,0,0,0,1,1,470,9.038461538
12/30/2002,1/0/1900,,1/0/1900,50,TRUE,2,FALSE,FALSE,FALSE,1000000,3,"AH, JC, CR, HM",,One turkey exhibiting strange behavior,52,0,0,2,0,0,0,0,0,0,0,470,9.038461538
5/15/1998,1/0/1900,,1/0/1900,77,FALSE,2,FALSE,FALSE,FALSE,1000000,2,tp am,,grass is tall,54,0,0,0,0,0,0,1,0,0,0,470,8.703703704
9/15/1998,1/0/1900,1/0/1900,1/0/1900,71,FALSE,2,FALSE,FALSE,FALSE,1000000,3,kd em ts es,,,54,0,0,0,1,0,0,0,1,0,0,470,8.703703704
10/2/1998,1/0/1900,1/0/1900,1/0/1900,65,FALSE,1,FALSE,FALSE,FALSE,1000000,2,bs jr lm mj,,,54,0,0,0,0,0,3,0,1,0,0,470,8.703703704
3/29/1999,1/0/1900,1/0/1900,1/0/1900,55,FALSE,2,FALSE,FALSE,FALSE,1000000,2,ch eb s,,,54,0,0,0,0,0,2,0,0,0,0,470,8.703703704
9/30/1993,1/0/1900,1/0/1900,1/0/1900,42,FALSE,1,FALSE,FALSE,FALSE,1000000,2,rv kd,,very drastic changes in temperature,55,1,0,0,0,0,0,0,0,0,0,470,8.545454545
9/16/1999,1/0/1900,,1/0/1900,65,FALSE,1,FALSE,FALSE,FALSE,1000000,1,chpsjg,,,55,0,0,0,0,0,0,0,0,0,0,470,8.545454545
3/2/2000,1/0/1900,1/0/1900,1/0/1900,40,FALSE,1,FALSE,FALSE,FALSE,1000000,3,"bs,jm,jg,sl,",,all areas surveyed,55,0,0,0,0,0,0,0,1,1,0,470,8.545454545
5/15/2002,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,4,B.S./J.Y./C.O./K.G.,,,55,1,0,0,0,0,0,0,0,0,0,470,8.545454545
3/25/1999,1/0/1900,1/0/1900,1/0/1900,50,FALSE,2,FALSE,FALSE,FALSE,1000000,1,bm rln jp hp,,,57,1,0,0,0,0,0,0,0,1,0,470,8.245614035
2/10/1999,1/0/1900,1/0/1900,1/0/1900,53,FALSE,1,FALSE,FALSE,FALSE,1000000,3,ch bm,,,58,0,0,0,0,0,0,0,2,0,0,470,8.103448276
2/3/2003,1/0/1900,,1/0/1900,48,TRUE,2,FALSE,FALSE,FALSE,1000000,4,CHCHJCHM,,,58,0,0,0,0,0,0,0,0,0,0,470,8.103448276
3/23/1995,1/0/1900  7:45:00 PM,1/0/1900,1/0/1900,65,FALSE,1,FALSE,FALSE,FALSE,1000000,0,seymour high,,forge creek section not monitored,59,2,0,0,0,0,0,0,1,0,0,470,7.966101695
9/30/1999,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,3,jgjpksmcbs,,deer were in large groups,59,0,0,2,1,0,0,0,1,0,0,470,7.966101695
7/21/2000,1/0/1900,1/0/1900,1/0/1900,77.5,FALSE,2,FALSE,FALSE,FALSE,1000000,0,"ch, Payne 2, Nolte",calm,copperhead = 1 sighted,59,0,0,0,0,0,0,0,0,0,0,470,7.966101695
9/27/2003,1/0/1900,1/0/1900,1/0/1900,62,FALSE,0,TRUE,FALSE,FALSE,1000000,4,CH + UTM (16),,light rain,59,0,3,1,0,0,0,0,1,0,0,470,7.966101695
11/30/2000,1/0/1900,1/0/1900,1/0/1900,34,FALSE,1,FALSE,FALSE,FALSE,1000000,3,"hester, raxter, rau, hampton",,,60,0,0,0,0,0,0,0,1,0,0,470,7.833333333
7/22/1999,1/0/1900,1/0/1900,1/0/1900,68,FALSE,3,FALSE,FALSE,TRUE,1000000,3,jd bf jb sd cj reporters,"foggy, visibility was limited for about 40 m in section 4",tall grass in many fields,51,0,0,0,0,0,0,0,0,0,0,387.9179993,7.60623528
11/6/1998,1/0/1900,1/0/1900,1/0/1900,37,FALSE,0,TRUE,FALSE,FALSE,1000000,3,ch es,light mist- did not affect spotlight distance,,62,0,0,0,0,0,0,0,0,0,0,470,7.580645161
9/7/1998,1/0/1900,1/0/1900,1/0/1900,75,FALSE,2,TRUE,FALSE,FALSE,1000000,2,bs sm,,tall grass in a lot of fields,65,0,2,0,0,0,0,0,0,0,0,470,7.230769231
11/17/1998,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs jh ch hs ds nk mk,,,65,0,0,0,1,0,0,0,0,0,0,470,7.230769231
11/12/1999,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,1,jgmcbs,,,65,4,2,1,0,0,0,0,0,0,0,470,7.230769231
6/10/1997,1/0/1900,1/0/1900,1/0/1900,65,FALSE,3,TRUE,FALSE,TRUE,1000000,1,rob eric rv,,grass is very high in about 40% of the area,66,0,0,0,0,0,0,1,0,0,0,470,7.121212121
5/27/1999,1/0/1900,1/0/1900,1/0/1900,63,FALSE,1,FALSE,FALSE,FALSE,1000000,2,bs vh jd bf,,tall grass in most fields,66,0,3,0,0,0,0,0,0,0,0,470,7.121212121
3/17/2000,1/0/1900,,1/0/1900,46,FALSE,1,FALSE,FALSE,FALSE,1000000,2,"Blake, Sean, Josh, Jason",calm,,66,0,0,0,0,0,0,0,0,0,0,470,7.121212121
3/11/1996,1/0/1900,1/0/1900,1/0/1900,25,FALSE,1,FALSE,FALSE,FALSE,0,1,bs pd jr ss js,,started a little late due to spotlight trouble,67,3,0,0,0,0,0,0,0,0,1,470,7.014925373
8/18/1998,1/0/1900,1/0/1900,1/0/1900,75,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs tp ch aw,,,67,0,0,0,0,0,0,0,2,0,0,470,7.014925373
6/20/1994,1/0/1900,1/0/1900,1/0/1900,70,FALSE,3,FALSE,FALSE,FALSE,1000000,3,jay rick tim can,,tall grass in section 2,69,0,0,0,0,0,0,0,0,0,0,470,6.811594203
3/27/1997,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,2,bs gd jp pk,good night to view the comet,,69,0,0,0,0,0,0,0,0,0,0,470,6.811594203
9/11/1997,1/0/1900,1/0/1900,1/0/1900,65,FALSE,2,FALSE,FALSE,FALSE,1000000,1,bs dr mw,,many of the deer were laying down- patchy light fog around Abrams falls P.A.,70,0,1,0,0,0,1,0,0,0,0,470,6.714285714
3/15/1994,1/0/1900,1/0/1900,1/0/1900,50,FALSE,2,FALSE,FALSE,FALSE,1000000,0,kd seymour,,observed 2 wolves (adults) at lower end of cove (see map),71,2,0,0,0,1,0,2,1,1,0,470,6.61971831
4/24/1997,1/0/1900,1/0/1900,1/0/1900,45,FALSE,2,FALSE,FALSE,FALSE,1000000,2,rv bm hp,,Blake shot one 40 lb pig,71,0,1,0,0,0,2,0,0,1,0,470,6.61971831
6/10/2002,1/0/1900,1/0/1900,1/0/1900,80,FALSE,1,FALSE,FALSE,TRUE,1000000,4,"Deck, Okraska, Jones, Smith, Lupardus",,All areas surveyed,72,0,0,1,0,0,0,0,0,0,0,470,6.527777778
9/2/1999,1/0/1900,1/0/1900,1/0/1900,70,FALSE,3,FALSE,FALSE,FALSE,1000000,3,I&M Group,tall grass,barn owl seen,73,0,0,1,0,0,0,0,0,0,0,470,6.438356164
3/14/2002,1/0/1900,1/0/1900,1/0/1900,60,TRUE,2,FALSE,FALSE,FALSE,1000000,4,B.S./A.H./J.D.,,Very windy. Also seen a woodcock in area 1.,73,0,0,0,0,0,0,0,0,0,0,470,6.438356164
5/12/1998,1/0/1900,,1/0/1900,69,FALSE,2,FALSE,FALSE,FALSE,0,2,tp sg am,,grass is tall,74,0,0,2,0,0,0,1,0,0,0,470,6.351351351
8/5/1999,1/0/1900,1/0/1900,1/0/1900,68,FALSE,1,FALSE,FALSE,TRUE,1000000,3,jd vh ab hs cb js,1 patch of fog near Hyatt Lane- probably insignificant,barn owl seen before wildlife overlook- owl frequency 76,75,0,1,0,0,0,0,0,0,0,0,470,6.266666667
2/15/2000,1/0/1900,1/0/1900,1/0/1900,40,FALSE,1,FALSE,FALSE,FALSE,1000000,1,"jg, jm, bs",calm,all areas surveyed,75,0,0,0,0,0,0,0,0,0,0,470,6.266666667
9/1/1996,1/0/1900,1/0/1900,1/0/1900,70,FALSE,3,FALSE,FALSE,FALSE,1000000,2,kd seymour,,tall grass restricts observations in some areas,76,0,1,0,0,0,0,0,1,0,0,470,6.184210526
7/10/1998,1/0/1900,1/0/1900,1/0/1900,75,FALSE,2,FALSE,FALSE,FALSE,0,2,sb tp rs bs,,group of bucks on Hyatt lane,76,0,0,1,0,0,0,1,0,0,0,470,6.184210526
6/23/1999,1/0/1900,1/0/1900,1/0/1900,68,FALSE,3,FALSE,FALSE,FALSE,1000000,1,jd vh bf mk sd ap,hazey,grass is tall making it difficult to see,76,0,0,0,0,0,0,0,0,0,0,470,6.184210526
7/9/1999,1/0/1900,1/0/1900,1/0/1900,85,FALSE,3,FALSE,FALSE,FALSE,1000000,3,bs bm lh lh vh mw,,tall grass in some fields and one barn owl seen,76,0,0,1,0,0,0,0,2,0,0,470,6.184210526
6/22/2000,1/0/1900,1/0/1900,1/0/1900,70,FALSE,1,FALSE,FALSE,FALSE,1000000,2,"ch, rk, jq",thick fog in areas,grass was very tall,76,0,0,0,0,0,0,0,0,0,0,470,6.184210526
3/22/2001,1/0/1900,,1/0/1900,55,FALSE,2,FALSE,FALSE,FALSE,1000000,4,br rv bm,,,76,0,0,0,0,0,0,0,1,1,0,470,6.184210526
7/25/2003,1/0/1900,1/0/1900,1/0/1900,65,FALSE,3,FALSE,FALSE,FALSE,1000000,4,HMRADG,,,76,0,0,0,0,0,0,0,1,0,0,470,6.184210526
7/3/1996,1/0/1900,1/0/1900,1/0/1900,76,FALSE,2,FALSE,FALSE,FALSE,1000000,2,jl ts,,,77,1,0,0,0,0,0,0,0,0,0,470,6.103896104
5/16/2001,1/0/1900,1/0/1900,1/0/1900,74,FALSE,0,FALSE,FALSE,FALSE,1000000,3,"CH,JY,RD",,,77,0,0,0,0,0,0,0,0,0,0,470,6.103896104
6/10/2001,1/0/1900,,,70,FALSE,1,FALSE,FALSE,FALSE,1000000,2,,,,77,0,0,0,0,0,0,0,0,0,0,470,6.103896104
3/12/1997,1/0/1900,1/0/1900,1/0/1900,55,FALSE,1,FALSE,FALSE,FALSE,1000000,4,ch bs bm,,several small bucks still had their antlers,78,0,0,0,0,0,0,0,1,0,0,470,6.025641026
8/9/2002,1/0/1900,1/0/1900,1/0/1900,83,FALSE,2,FALSE,FALSE,FALSE,1000000,4,"Smith, Lupardus, Bostrom",Calm,,79,0,0,0,0,0,0,0,0,0,0,470,5.949367089
2/13/1998,1/0/1900,1/0/1900,1/0/1900,35,FALSE,3,FALSE,FALSE,FALSE,1000000,2,bs dn,,all areas surveyed- saw a few bucks with antlers,80,0,0,0,0,0,0,0,3,1,0,470,5.875
8/25/1998,1/0/1900,,1/0/1900,75,FALSE,1,FALSE,FALSE,FALSE,1000000,3,es gb lm rv,,Section 3 has tall grass- section 4 very foggy,80,0,0,0,0,0,0,0,0,0,0,470,5.875
9/28/1998,1/0/1900,1/0/1900,1/0/1900,70,TRUE,2,FALSE,FALSE,FALSE,1000000,1,ts rv es,,wind and lightning spooking deer,81,0,0,0,0,0,0,0,0,0,0,470,5.802469136
10/2/1997,1/0/1900,1/0/1900,1/0/1900,65,FALSE,1,FALSE,FALSE,FALSE,1000000,4,bs kd,,unable to survey section 4a due to fog,71,0,0,0,0,0,0,2,0,0,0,408,5.746478873
6/14/1996,1/0/1900,1/0/1900,1/0/1900,72,FALSE,2,FALSE,FALSE,TRUE,1000000,4,bm jd,,,83,5,0,0,0,0,0,0,0,0,0,470,5.662650602
12/11/1997,1/0/1900,1/0/1900,1/0/1900,35,FALSE,3,TRUE,FALSE,FALSE,0,2,dm bm jm bs,,,83,0,0,0,0,0,0,0,0,0,0,470,5.662650602
8/22/2002,1/0/1900,1/0/1900,1/0/1900,70,FALSE,2,FALSE,FALSE,FALSE,1000000,2,,,,83,0,0,2,0,0,0,0,0,1,0,470,5.662650602
12/7/1999,1/0/1900,1/0/1900,1/0/1900,40,FALSE,2,FALSE,FALSE,FALSE,1000000,4,bsjgdm,,,85,0,0,0,0,0,3,0,1,0,0,470,5.529411765
7/5/1997,1/0/1900,1/0/1900,1/0/1900,70,FALSE,2,FALSE,FALSE,FALSE,1000000,4,bm,,,87,0,0,0,0,0,0,0,0,0,0,470,5.402298851
10/11/1994,1/0/1900,1/0/1900,1/0/1900,50,TRUE,1,FALSE,FALSE,FALSE,1000000,1,bs mk kd,,the 4b section from Mill Creek crossing toward Henry Whitecabin (3.5 ha) was excluded due to road closure,88,0,0,0,0,0,0,0,0,0,0,470,5.340909091
8/18/1999,1/0/1900,1/0/1900,1/0/1900,70,FALSE,1,FALSE,FALSE,FALSE,1000000,1,bfjbapbsns,tall grass,barn owl seen,88,0,0,1,0,0,0,0,0,0,0,470,5.340909091
11/1/2000,1/0/1900,,1/0/1900,55,FALSE,0,FALSE,FALSE,FALSE,1000000,3,"hester, compton, hampton",,,90,2,0,0,0,0,0,0,0,0,0,470,5.222222222
4/14/2003,1/0/1900,1/0/1900,1/0/1900,60,FALSE,1,FALSE,FALSE,FALSE,1000000,2,BSCH + MC Bio Class,,,90,0,0,0,0,0,0,0,0,0,0,470,5.222222222
6/30/1997,1/0/1900,1/0/1900,1/0/1900,75,FALSE,3,FALSE,FALSE,FALSE,1000000,3,bs ch bm,,observed only one fawn,91,0,0,0,1,0,0,0,1,0,0,470,5.164835165
9/13/1993,1/0/1900,1/0/1900,1/0/1900,72,TRUE,1,FALSE,FALSE,FALSE,1000000,4,kd ch,,strong gusty winds,93,0,0,0,0,1,0,0,0,0,0,470,5.053763441
3/4/1998,1/0/1900,1/0/1900,1/0/1900,35,FALSE,3,FALSE,TRUE,FALSE,1000000,1,jh ch bs cm dn bs,,no antlered deer observed,94,1,0,1,0,0,0,1,3,0,0,470,5
6/9/1999,1/0/1900,1/0/1900,1/0/1900,71,FALSE,2,FALSE,FALSE,FALSE,1000000,3,"jd,vh,sd,lf",,grass relatively tall,94,0,3,0,0,0,0,0,0,0,0,470,5
1/19/2000,1/0/1900,1/0/1900,1/0/1900,36,TRUE,0,TRUE,TRUE,FALSE,1000000,3,"ch, jg, Lemoine",,all areas surveyed,94,0,0,0,0,0,0,0,0,0,0,470,5
